INVENTARIO,,,,,,,,,
Fecha de inicio 22/08/2025.,,,,,,,,,
CÓDIGO,PROVEEDOR,DESCRIPCIÓN,STOCK,UBICACIÓN,EQUIVALENCIAS,PRECIO,TOTAL,F. DE CONTROL,
WF2071,FLEETGUARD,FILTRO DE AGUA,0,C,,"$17,80","$0,00",21/05/2026,
WF2072,FLEETGUARD,FILTRO DE AGUA,1,C,WF2172,"$22,40","$22,40",21/05/2026,
WF2073,FLEETGUARD,FILTRO AGUA,1,C,,"$24,10","$24,10",21/05/2026,
WF2074,FLEETGUARD,FILTRO AGUA,1,C,,"$24,10","$24,10",21/05/2026,
WF2076,FLEETGUARD,FILTRO DE AGUA,0,C,,"$50,55","$0,00",21/05/2026,
´040146,SULLAIR,JUNTA FLEXMASTER 1 1/2SR S.10,16,C,,"$111,90","$1.790,40",21/05/2026,
´040649,SULLAIR,JUNTA FLEX.2 1/2 (1)S12,11,C,,"$123,80","$1.361,80",21/05/2026,
´045672,SULLAIR,BANDA DE ACOPLE S.10,13,C,,"$414,30","$5.385,90",21/05/2026,
AH19037,FLEETGUARD,TUBULAR,0,C,,"$96,90","$0,00",21/05/2026,
88290015-902,SULLAIR,CORREA P/SHOPTEK WS1100,3,C,,"$60,30","$180,90",21/05/2026,
88290016-410,SULLAIR,CORREA P/SHOPTEK WS0400/0500,6,C,,"$75,60","$453,60",21/05/2026,
88290017-056,SULLAIR,CORREA P/SHOPTEK WS1500,3,C,,"$62,10","$186,30",21/05/2026,
88290015-901,SULLAIR,CORREA P/SHOPTEK WS0700,2,C,,"$60,30","$120,60",21/05/2026,
KB8220,AIRHORSE,FILTRO SEPARADOR,5,C,,,"$0,00",21/05/2026,
WD719,AIRHORSE,FILTRO DE ACEITE,5,C,,,"$0,00",21/05/2026,
23801001.01,AIRHORSE,FILTRO DE AIRE,4,C,,,"$0,00",21/05/2026,
LX3986,MAHLE,FILTRO DE AIRE,2,C,,,"$0,00",21/05/2026,
040694RA,,PRESOSTATO DANFFOS ALTA PRES.,3,C,,,"$0,00",21/05/2026,
HF6182,FLEETGUARD,FILTRO HIDRAULICO,0,C,,,"$0,00",28/05/2026,
AF1855-FLE,SULLAIR,F.AIRE,3,C,,,"$0,00",29/05/2026,
MC003,MARENO,FILTRO DE COMBUSTIBLE,2,C,,,"$0,00",06/07/2026,
MDH366,ECHANIZ,FILTRO HABITACULO,1,C GRIS,,,"$0,00",27/05/2026,
MR406,ECHANIZ,FILTRO DE AIRE,1,C GRIS,,,"$0,00",27/05/2026,
LA428/S,MAHLE,FILTRO DE AIRE,1,C GRIS,,,"$0,00",21/05/2026,
LA87,MAHLE,FILTRO HABITACULO,1,C GRIS,,,"$0,00",21/05/2026,
HK1251,MAHLE,FILTRO HABITACULO,1,C GRIS,,,"$0,00",21/05/2026,
HK205,MAHLE,FILTRO HABITACULO,1,C GRIS,,,"$0,00",21/05/2026,
MDH201,MAHLE,FILTRO DE ACEITE,0,C GRIS,,,"$0,00",21/05/2026,
MDH362/8,MAHLE,FILTRO DE AIRE,0,C GRIS,,,"$0,00",21/05/2026,
MDH291,MAHLE,FILTRO HABITACULO,0,C GRIS,,,"$0,00",21/05/2026,
MDH218,MAHLE,FILTRO HABITACULO,2,C GRIS,,,"$0,00",21/05/2026,
MR371,MARENO,FILTRO DE AIRE,1,C GRIS,,,"$0,00",21/05/2026,
LX993,MAHLE,FILTRO DE AIRE,1,C GRIS,,,"$0,00",21/05/2026,
AA2366,PRIX,FILTRO DE AIRE,2,C GRIS,,,"$0,00",21/05/2026,
HLP4147,VOX,FILTRO DE AIRE,1,C GRIS,LX907,,"$0,00",21/05/2026,
LX5208,MAHLE,FILTRO DE AIRE,0,C GRIS,,,"$0,00",21/05/2026,
LX3486,SAKURA,A-2935  FILTRO DE AIRE,1,C GRIS,,,"$0,00",21/05/2026,
P551808,DONALDSON,FILTRO DE ACEITE,1,C GRIS,,,"$0,00",21/05/2026,
P165675,DONALDSON,FILTRO DE ACEITE,1,C GRIS,,,"$0,00",21/05/2026,
P165569,DONALDSON,FILTRO DE ACEITE,1,C GRIS,,,"$0,00",21/05/2026,
P951419,DONALDSON,FILTRO SECADOR DE AIRE,1,C GRIS,,,"$0,00",21/05/2026,
P559000,DONALDSON,FILTRO DE ACEITE,1,C GRIS,,,"$0,00",21/05/2026,
B76,BALDWIN,FILTRO DE ACEITE,1,C GRIS,,,"$0,00",21/05/2026,
BR-1075,LANSS,FILTRO DE COMBUSTIBLE,2,C GRIS,,,"$0,00",21/05/2026,
LX673,MAHLE,FILTRO DE AIRE,1,C GRIS,,,"$0,00",21/05/2026,
FAC973,VOX,LA677 FILTRO DE AIRE,0,C GRIS,,,"$0,00",21/05/2026,
4T-GX-3402,VENROL,FILTRO DE AIRE,0,C GRIS,,,"$0,00",21/05/2026,
EF-427,LANSS,FILTRO DE AIRE,1,C GRIS,,,"$0,00",21/05/2026,
HF-3058,LANSS,FILTRO HIDRAULICO,2,C GRIS,,,"$0,00",21/05/2026,
RE160JQll,-,F.COMBUSTIBLE,2,C GRIS,,,"$0,00",21/05/2026,
2120150,JLG,FILTRO HIDRAULICO,1,C GRIS,,,"$0,00",21/05/2026,
MR378,MARENO,FILTRO DE AIRE,3,C GRIS,,,"$0,00",21/05/2026,
MR051,MARENO,FILTRO DE AIRE,1,C GRIS,,,"$0,00",21/05/2026,
MR378/S,MARENO,FILTRO DE AIRE,4,C GRIS,,,"$0,00",21/05/2026,
MR366,MARENO,FILTRO SECUNDARIO,1,C GRIS,,,"$0,00",21/05/2026,
AA1127,PRIX,FILTRO DE AIRE,5,C GRIS,,,"$0,00",21/05/2026,
TR30179,TURBO FILTROS,FILTRO DE AIRE,1,C GRIS,,,"$0,00",21/05/2026,
BF7675-D,BALDWIN,FILTRO DE COMBUSTIBLE,1,C GRIS,,,"$0,00",21/05/2026,
AA1436/1E,PRIX,FILTRO DE AIRE,1,C GRIS,LX14S1,,"$0,00",21/05/2026,
WKU-1001/V,WEGA,KIT FILTROS,0,C GRIS,,,"$0,00",21/05/2026,
AA1288/1,PRIX,TOYOTA FILTRO DE AIRE,1,C GRIS,,,"$0,00",21/05/2026,
HLP2206,VOX,FILTRO DE AIRE,0,C GRIS,,,"$0,00",21/05/2026,
-,,FILTRO HABITACULO HILUX,4,C GRIS,,,"$0,00",21/05/2026,
LX486,,FILTRO DE AIRE,1,C GRIS,,,"$0,00",21/05/2026,
3801708-CMM,,BOMBA DE AGUA CUMMINS NTA-855,1,C GRIS,,"$1.961,00","$1.961,00",21/05/2026,
405158RA,SULLAIR,FILTRO AIRE 20/25,0,C GRIS,,"$225,40","$0,00",21/05/2026,
405158RA,P/SERVICIO,FILTRO AIRE 20/25,12,-,,"$225,40","$2.704,80",21/05/2026,
LA1045,MAHLE,FILTRO HABITACULO,1,C GRIS,,,"$0,00",06/07/2026,
LX2082/1,VOX,FILTRO DE AIRE,1,C GRIS,,,"$0,00",21/05/2026,
C1140,MANN,FILTRO DE AIRE,1,C GRIS,,,"$0,00",21/05/2026,
LX1801,MAHLE,375 NUEVO FILTRO DE AIRE,2,C GRIS,,,"$0,00",21/05/2026,
MR372,MARENO,FILTRO DE AIRE,1,C GRIS,,,"$0,00",21/05/2026,
FAC887,VOX,FILTRO CABINA HILUX,2,C GRIS,,,"$0,00",,
C-70130,ECHANIZ,FILTRO DE ACEITE,1,C GRIS,,,"$0,00",06/07/2026,
FF-02FI,ECHANIZ,FILTRO DE COMBUSTIBLE,1,C GRIS,,,"$0,00",06/07/2026,
MDH308,ECHANIZ,F.HABITACULO,1,C GRIS,,,"$0,00",06/07/2026,
MR299,ECHANIZ,FILTRO DE AIRE,1,C GRIS,,,"$0,00",06/07/2026,
270016-209,SULLAIR,USADO - Flex. descarga,1,C GRIS,,"$631,30","$631,30",06/07/2026,
270009-102,LANSS,FILTRO DE AIRE ,4,D,EF-443,,"$0,00",21/05/2026,
LX265,MAHLE,FILTRO DE AIRE,6,D,EF-443,,"$0,00",21/05/2026,
270009-103,LANSS,FILTRO DE AIRE,9,D,EF-436,,"$0,00",21/05/2026,
LXS 37/1,MAHLE,FILTRO DE AIRE ll,1,D,EF-436,,"$0,00",21/05/2026,
V-719,DARMET,FILTRO DE AIRE,1,D,,,"$0,00",21/05/2026,
V-720,DARMET,FILTRO DE AIRE,2,D,,,"$0,00",21/05/2026,
VP-799,DARMET,FILTRO DE AIRE,1,D,,,"$0,00",,
VP-799/S,DARMET,FILTRO DE AIRE ll,1,D,,,"$0,00",,
LXS5/1,MAHLE,FILTRO DE AIRE,4,D,EF-434,,"$0,00",21/05/2026,
LX275,MAHLE,FILTRO DE AIRE,4,D,EF-440,,"$0,00",21/05/2026,
270009-081 ,LANSS,FILTRO DE AIRE ll,4,D,EF-435,,"$0,00",21/05/2026,
LXS41/1,MAHLE,FILTRO DE AIRE ll,7,D,EF-435 270009-081 ,,"$0,00",21/05/2026,
270009-082,LANSS,FILTRO DE AIRE,4,D,EF-441,,"$0,00",21/05/2026,
LX236,MAHLE,FILTRO DE AIRE,7,D,270009-082 EF-441,,"$0,00",21/05/2026,
040899RA,SULLAIR,ELEMENTO FILTRO DE AIRE LS10,10,D,EF-429,"$59,00","$590,00",21/05/2026,
02250102-160RA,DARMET,FILTRO 2° AIRE 185JD,0,D,AF25484,"$107,00","$0,00",21/05/2026,
02250102-158RA,DARMET,FILTRO 1° AIRE,0,D,AF25555-FLE,,"$0,00",21/05/2026,
02250043-291,SULLAIR,INDICADOR TEMP. P/6E,0,E,,"$665,30","$0,00",31/07/2026,
02250164-532RA,SULLAIR,ELEMENTO FIL AIRE 1º P/375/185,2,E,,"$241,40","$482,80",06/07/2026,
AF25557-FLE,FLEETGUARD,FILTRO DE AIRE (EF-732),2,E,,"$34,70","$69,40",06/07/2026,
AF4548,FLEETGUARD,F.AIRE (= 140-2391),1,E,,"$193,90","$193,90",06/07/2026,
AF947,FLEETGUARD,FILTRO DE AIRE,2,E,,"$69,60","$139,20",06/07/2026,
02250125-372,FLEETGUARD,ELE FILT AIRE S.ENERGY,2,E,,"$90,00","$180,00",06/07/2026,
AF25558,FLEETGUARD,FILT AIRE 2º P/310,4,E,EF-733,"$23,50","$94,00",06/07/2026,
270007-324,SULLAIR,F.A II° PES.P/750-900Q AF1791,2,E,,"$100,60","$201,20",06/07/2026,
270007-323,SULLAIR,F.AIRE I° S.PES.750/900Q/C500,1,E,,"$178,10","$178,10",06/07/2026,
02250137-895,SULLAIR,E.SEPARADOR S10-20/30/40 LFREE,5,E,,"$827,40","$4.137,00",06/07/2026,
02250137-895,P/SERVICIO,E.SEPARADOR S10-20/30/40 LFREE,5,-,,"$827,40","$4.137,00",06/07/2026,
02250215-617,SULLAIR,KIT ELEMENTO SEPARADOR P10,2,E,,"$600,90","$1.201,80",06/07/2026,
250028-034,SULLAIR,ELTO FILT AIRE 6E P/250025-421,1,E,,"$75,50","$75,50",06/07/2026,
02250156-601,SULLAIR,ELEMENTO FILTRO DE ACEITE P10,1,E,,"$255,60","$255,60",06/07/2026,
02250111-804,SULLAIR,FILTRO AIRE SERV.PESADO P/6E,1,E,,"$169,80","$169,80",06/07/2026,
02250215-621,SULLAIR,FILTRO SEPARADOR P/Energy 3700,3,E,,"$851,00","$2.553,00",06/07/2026,
02250127-684,SULLAIR,ELEMENT AIR FILTER,3,E,,"$216,10","$648,30",06/07/2026,
02250127-684,P/SERVICIO,ELEMENT AIR FILTER,7,-,,"$216,10","$1.512,70",06/07/2026,
02250139-995,SULLAIR,ETO FILTRO ACEIT TS20 CORELESS,4,E,,"$494,80","$1.979,20",06/07/2026,
250028-033,SULLAIR,SEPARADOR P/6E,1,E,250025-264,"$369,00","$369,00",06/07/2026,
02250125-372,SULLAIR,ELE FILT AIRE S.ENERGY,3,E,,"$90,00","$270,00",06/07/2026,
02250125-372,P/SERVICIO,ELE FILT AIRE S.ENERGY,3,-,,"$90,00","$270,00",06/07/2026,
FA-3453,LANSS,FILTRO SEPARADOR DE ACEITE,3,E,,,"$0,00",06/07/2026,
FA-3962,LANSS,FILTRO SEPARADOR DE AGUA,1,E,,,"$0,00",06/07/2026,
AH1196,FLEETGUARD,FILTRO DE AIRE COMPLETO,1,E,,"$126,90","$126,90",06/07/2026,
AF26173-FLE,FLEETGUARD,FILTRO DE AIRE P/ C350/500Q,0,E,,"$185,40","$0,00",06/07/2026,
AH1136,FLEETGUARD,FILTRO DE AIRE C-120/150,0,E,,"$74,40","$0,00",06/07/2026,
AF25957,FLEETGUARD,FILTRO AIRE I° P/SKT (1101312),1,E,,"$70,20","$70,20",21/05/2026,
7139077-TRA,SULLAIR,ASS. FILLER BREATHER,1,F,,"$78,70","$78,70",06/07/2026,
´000098,LANSS,ELEMENTO FILTRO DE AIRE LS10,10,F,EF428,"$85,40","$854,00",06/07/2026,
88290014-485,P/SERVICIO,ELEMTO.FLT.AIRE WS1100-1500,7,F,,,"$0,00",06/07/2026,
88290014-485,SULLAIR,ELEMTO.FLT.AIRE WS1100-1500,4,F,,"$110,10","$440,40",06/07/2026,
88290015-049,SULLAIR,ELEMTO.SEPAR. WS0400-500-700,4,F,,"$308,70","$1.234,80",06/07/2026,
02250168-084,P/SERVICIO,ELEM FLTR CORELESS 2 DIA. +,10,-,,"$381,60","$3.816,00",06/07/2026,
02250168-084,SULLAIR,ELEM FLTR CORELESS 2 DIA. +,8,F,,"$381,60","$3.052,80",06/07/2026,
250025-526,SULLAIR,ELEMTO.FILT.ACEITE 750/S.12/16,7,F,,"$189,00","$1.323,00",06/07/2026,
250025-526,P/SERVICIO,ELEMTO.FILT.ACEITE 750/S.12/16,0,F,,"$189,00","$0,00",06/07/2026,
88290014-484,SULLAIR,ELEMTO.FILT.ACEITE SHOPTEK,5,F,,"$88,70","$443,50",06/07/2026,
88290014-484,P/SERVICIO,ELEMTO.FILT.ACEITE SHOPTEK,5,F,,"$88,70","$443,50",06/07/2026,
250025-525,SULLAIR,ELEMTO.FILT.ACEITE 375/S.10,5,F,,"$141,50","$707,50",06/07/2026,
250025-525,P/SERVICIO,ELEMTO.FILT.ACEITE 375/S.10,5,F,,"$141,50","$707,50",06/07/2026,
02250125-370,SULLAIR,F. AIRE 6 P/8E y S-ENERGY,4,F,,"$60,00","$240,00",06/07/2026,
EF-526,LANSS,ELEMENTO FILTRO DE AIRE 25-200,1,F,,"$314,40","$314,40",06/07/2026,
250034-118,SULLAIR,ELEMTO.SEP. II° S.12/16 (OLD),1,F,,"$861,00","$861,00",06/07/2026,
88290015-567,SULLAIR,ELEMTO.SEPAR. WS1100-1500,4,F,,"$329,20","$1.316,80",06/07/2026,
88290014-486,SULLAIR,ELEMTO.FLT.AIRE WS0400-500-700,5,F,,"$95,10","$475,50",06/07/2026,
02250100-755,SULLAIR,ELEMENTO SEP. Iº P/LS12 LFREE,2,F,,"$876,30","$1.752,60",06/07/2026,
02250100-755,P/SERVICIO,ELEMENTO SEP. Iº P/LS12 LFREE,5,-,,"$876,30","$4.381,50",06/07/2026,
02250100-756,SULLAIR,ELEMENTO SEP. IIº P/LS12 LFREE,2,F,,"$594,30","$1.188,60",06/07/2026,
02250100-756,P/SERVICIO,ELEMENTO SEP. IIº P/LS12 LFREE,5,F,,"$594,30",#VALUE!,06/07/2026,
250034-128,SULLAIR,ELEMTO.SEPARADOR II° S.20,1,F,,"$1.021,40","$1.021,40",06/07/2026,
250034-128,P/SERVICIO,ELEMTO.SEPARADOR II° S.20,2,-,,"$1.021,40","$2.042,80",06/07/2026,
LX200/HP8528,VOX,FILTRO DE AIRE,1,G,,,"$0,00",06/07/2026,
02250168-053,SULLAIR,ELEM AIR FLTR 2-STAGE P16/18,2,G,,"$680,70","$1.361,40",06/07/2026,
02250168-053,P/SERVICIO,ELEM AIR FLTR 2-STAGE P16/18,11,-,,"$680,70","$7.487,70",06/07/2026,
408242,SULLAIR,FILTRO DE ACEITE (S.10 viejos),1,G,,"$141,50","$141,50",,
02250218-885,SULLAIR,KIT SEP ELEMENT P16/18,2,G,,"$1.637,90","$3.275,80",06/07/2026,
02250078-031,SULLAIR,SEPARADOR 185Q,3,G,250034-155,"$503,40","$1.510,20",06/07/2026,
02250078-031,P/SERVICIO,SEPARADOR 185Q,0,-,250034-155,"$503,40","$0,00",06/07/2026,
250034-112,SULLAIR,FILT SEPARADOR P/185 KUB(CORTO,2,G,,"$638,30","$1.276,60",06/07/2026,
250028-032,SULLAIR,FILTRO ACEITE P/6E ELEMTO.,3,G,,"$107,10","$321,30",06/07/2026,
02250175-063,SULLAIR,FILTRO 2º AIRE P/LS20S-220LF,2,G,,"$238,60","$477,20",06/07/2026,
02250175-063,P/SERVICIO,FILTRO 2º AIRE P/LS20S-220LF,1,-,,"$238,60","$238,60",06/07/2026,
02250175-062,SULLAIR,FILTRO 1º AIRE P/LS20S-220LF,2,G,,"$614,40","$1.228,80",06/07/2026,
02250175-062,P/SERVICIO,FILTRO 1º AIRE P/LS20S-220LF,4,-,,"$614,40","$2.457,60",06/07/2026,
250015-586,SULLAIR,FILTRO DE ACEITE S.12 (old),0,G,,"$189,00","$0,00",06/07/2026,
LXS296,MAHLE,FILTRO DE AIRE ll,1,G,,,"$0,00",06/07/2026,
HDS838,VOX,FILTRO DE AIRE ll,1,G,LXS263,,"$0,00",06/07/2026,
HDS837,VOX,FILTRO DE AIRE ll,3,G,LXS261,,"$0,00",06/07/2026,
HDS839,VOX,FILTRO DE AIRE ll,1,G,LXS260,,"$0,00",06/07/2026,
HDS203,VOX,FILTRO DE AIRE ll,1,G,LXS251,,"$0,00",06/07/2026,
MR366,MARENO,FILTRO DE AIRE ,1,G,,,"$0,00",06/07/2026,
6.3672.2,KAESER,FILTRO SEPARADOR,3,G,,"$246,00","$738,00",06/07/2026,
6.3792.2,KAESER,FILTRO SEPARADOR,0,G,,,"$0,00",06/07/2026,
6.3462.0,KAESER,FILTRO DE ACEITE,2,G,,,"$0,00",06/07/2026,
6.4432.0,KAESER,FILTRO DE AIRE ,6,G,,"$60,00","$360,00",06/07/2026,
6.4434.0,KAESER,FILTRO DE AIRE ,1,G,,,"$0,00",22/07/2026,
6.4139.0,KAESER,FILTRO DE AIRE ,1,entrepiso,,"$88,00","$88,00",12/08/2026,
6.3568.0,KAESER,FILTRO SEPARADOR,1,entrepiso,,"$530,00","$530,00",12/08/2026,
6.3464.1,KAESER,FILTRO DE ACEITE,2,G,,"$85,00","$170,00",12/08/2026,
6.4149.2,KAESER,FILTRO DE AIRE ,1,G,,"$95,00","$95,00",12/08/2026,
6.3567.0,KAESER,FILTRO SEPARADOR,1,entrepiso,,"$584,00","$584,00",12/08/2026,
6.4148.0,KAESER,FILTRO DE AIRE,2,G,,"$220,00","$440,00",12/08/2026,
6.3760.0,KAESER,FILTRO SEPARADOR,1,entrepiso,,"$612,00","$612,00",12/08/2026,
6.3465.0,KAESER,FILTRO DE ACEITE,1,G,,"$190,00","$190,00",12/08/2026,
901524.0,KAESER,FILTRO,1,G,,"$198,00","$198,00",12/08/2026,
901504.0,KAESER,FILTRO,1,G,,"$190,00","$190,00",12/08/2026,
6.3623.0,KAESER,FILTRO SEPARADOR,1,entrepiso,,,,20/08/2026,
02250135-155,SULLAIR,ELMNTO FIL AIRE SERV PESAD S20,1,G,,"$684,40","$684,40",06/07/2026,
1613872000,ATLAS COPCO,,0,,,"$30,00",,,
1625480050,ATLAS COPCO,,0,,,"$30,00",,,
2903775300,ATLAS COPCO,,0,,,"$220,00",,,
1202804003,ATLAS COPCO,,0,,,"$30,00",,,
02250135-155,P/SERVICIO,ELMNTO FIL AIRE SERV PESAD S20,23,-,,"$684,40","$15.741,20",06/07/2026,
02250155-709,SULLAIR,ELEM FILTRO ACEITE p/S-ENERGY,10,G,,"$222,30","$2.223,00",06/07/2026,
02250155-709,P/SERVICIO,ELEM FILTRO ACEITE p/S-ENERGY,13,-,,"$222,30","$2.889,90",06/07/2026,
CF600/1,MANN,LXS219,1,G,,,"$0,00",06/07/2026,
HS801 / LXS401,VOX,FILTRO DE AIRE,1,G,,,"$0,00",06/07/2026,
408107,SULLAIR,FILTRO ACEITE (S.12/16 viejos),1,G,,"$112,20","$112,20",06/07/2026,
AT14879,JOHN DEERE,FILTRO DE ACEITE,1,H,,,"$0,00",06/07/2026,
02250229-242,SULLAIR,KIT ELEMENTO SEPARADOR LS110,1,H,,"$1.960,10","$1.960,10",06/07/2026,
250034-087,SULLAIR,ELEMENTO SEPARADOR 375Q,0,H,,"$999,50","$0,00",06/07/2026,
250034-086,SULLAIR,ELEMTO.SEPARADOR 750Q,1,H,,"$1.398,10","$1.398,10",06/07/2026,
02250145-897,SULLAIR,ELEMENTO SEPARADOR SECUNDARIO,1,H,,"$697,30","$697,30",06/07/2026,
250034-120,SULLAIR,ELEMTO.SEP. I°S.20,1,H,408167-001,"$1.288,50","$1.288,50",06/07/2026,
250034-120,P/SERVICIO,ELEMTO.SEP. I°S.20,2,-,408167-001,"$1.288,50","$2.577,00",06/07/2026,
LX3486,MAHLE,FILTRO DE AIRE,0,H,,,"$0,00",06/07/2026,
MZ3,SCHROEDER,FILTRO HIDRAULICO,1,H,,,,11/08/2026,
FF-560 R/S,PRO FILTER,FILTRO DE COMBUSTIBLE,2,H,,,"$0,00",06/07/2026,
R28-30M,PARKER,FILTRO DE COMBUSTIBLE,1,H,,,"$0,00",06/07/2026,
R90HDP-VOL,PARKER,FILTRO SEPARADOR,1,H,,,"$0,00",06/07/2026,
R90-30M,PARKER,FILTRO DE COMBUSTIBLE,2,H,FBS490/1  ,,"$0,00",06/07/2026,
FBS490/1,VOX,FILTRO SEPARADOR,1,H,R9030M,,"$0,00",06/07/2026,
BC-C2019,BAOCH,FILTRO DE COMBUSTIBLE,5,H,,,"$0,00",06/07/2026,
BC-C2008,BAOCH,FILTRO DE COMBUSTIBLE,6,H,,,"$0,00",06/07/2026,
500-0480 ,BLUMAQ,FILTRO DE COMBUSTIBLE,2,H,,,"$0,00",06/07/2026,
436-7077,BLUMAQ,FILTRO SEPARADOR,1,H,,,"$0,00",06/07/2026,
1G-8878,CAT,F.HIDRAULICO,1,H,,,"$0,00",06/07/2026,
1R-0751,CAT,F.COMBUSTIBLE,1,H,,,"$0,00",06/07/2026,
7W-2326,HDQP,F.ACEITE,1,H,,,"$0,00",06/07/2026,
G149,GOLD FILTER,FILTRO DE ACEITE,2,H,,,"$0,00",06/07/2026,
GF704,GOLD FILTER,FILTRO DE COMBUSTIBLE,2,H,,,"$0,00",06/07/2026,
DZ118286,JOHN DEERE,FILTRO DE ACEITE,2,H,,,"$0,00",06/07/2026,
RE62418,JOHN DEERE,FILTRO DE COMBUSTIBLE,1,H,,,"$0,00",06/07/2026,
RE62419,JOHN DEERE,FILTRO DE COMBUSTIBLE,1,H,,,"$0,00",06/07/2026,
RE504836,JOHN DEERE,FILTRO DE ACEITE,2,H,,,"$0,00",06/07/2026,
H601/4,MANN,FILTRO DE ACEITE HIDRAULICO,1,H,,,"$0,00",06/07/2026,
HU721,MANN,FILTRO DE ACEITE HIDRAULICO  x kit,1,H,,,"$0,00",06/07/2026,
HX15,MAHLE,FILTRO DE ACEITE HIDRAULICO,3,H,,,"$0,00",06/07/2026,
HX15,PRIX,FILTRO DE ACEITE HIDRAULICO,2,H,,,"$0,00",06/07/2026,
HX15,VOX,FILTRO DE ACEITE HIDRAULICO,1,H,,,"$0,00",06/07/2026,
67502-26600-71,TOYOTA,FILTRO DE ACEITE HIDRAULICO,2,H,,,"$0,00",06/07/2026,
247050,SPICER OFF,FILTRO DE ACEITE HIDRAULICO,1,H,,,"$0,00",06/07/2026,
84403847,CNH,FILTRO DE COMBUSTIBLE,1,H,,,"$0,00",06/07/2026,
2.120.158,JLG,,1,H,,,"$0,00",06/07/2026,
V-612,DARMET,F.ACEITE,1,H,,,"$0,00",06/07/2026,
G-315,DARMET,F.ACEITE,1,H,,,"$0,00",06/07/2026,
G-306,DARMET,FILTRO DE COMBUSTIBLE,1,H,,,"$0,00",06/07/2026,
FCS-15119,FAMEL,FILTRO DE COMBUSTIBLE,1,H,,,"$0,00",06/07/2026,
BR-1077,LANSS,FILTRO DE COMBUSTIBLE,1,H,,,"$0,00",06/07/2026,
BR-1196,LANSS,FILTRO DE COMBUSTIBLE,1,H,,,"$0,00",06/07/2026,
LFF3536,LUBE FILTER,F.ACEITE,1,H,,,"$0,00",06/07/2026,
HF-3045,LANSS,FILTRO HIDRAULICO,1,H,,,"$0,00",06/07/2026,
FCS-54,FAMEL,FILTRO DE COMBUSTIBLE,1,H,,,"$0,00",06/07/2026,
AC-720,MONZA,FILTRO DE AIRE,1,H,,,"$0,00",06/07/2026,
FCS-31,FAMEL,FILTRO DE COMBUSTIBLE,2,H,,,"$0,00",06/07/2026,
FCS-181,FAMEL,FILTRO DE COMBUSTIBLE,3,H,,,"$0,00",06/07/2026,
`0750 131 056,ZF,FILTRO DE ACEITE H.,2,H,,,"$0,00",06/07/2026,
02250153-323,SULLAIR,ELEM. FILTR. P/ SCR 65,0,H,,"$333,90","$0,00",06/07/2026,
250024-424,SULLAIR,ELEMENT MPF2.7,0,H,,"$212,10","$0,00",06/07/2026,
250024-432,SULLAIR,ELEMTO. MPH 35,0,H,,"$188,10","$0,00",06/07/2026,
9003941M1,AGCO PARTS,F.ACEITE,1,H,,"$188,10","$188,10",06/07/2026,
P555680,DONALDSON,,3,H,LF654 - LF3788,,"$0,00",06/07/2026,
P554004,DONALDSON,,1,H,LF667 - LF3379,,"$0,00",06/07/2026,
P551315,DONALDSON,,1,H,FF5324 - FF5815,,"$0,00",06/07/2026,
BL-2091,LANSS,FILTRO DE ACEITE,1,H,,,"$0,00",06/07/2026,
P550575,DONALDSON,,2,H,HF6202,,"$0,00",06/07/2026,
P551435,DONALDSON,,1,H,FS19906,,"$0,00",06/07/2026,
P551425,DONALDSON,,2,H,FS19827,,"$0,00",06/07/2026,
P550467,DONALDSON,FILTRO DE COMBUSTIBLE,1,H,,,"$0,00",06/07/2026,
J3543R,HASTING,FILTRO DE AIRE,0,H,,,"$0,00",06/07/2026,
H2225,HASTING,FILTRO DE ACEITE,1,H,,,"$0,00",06/07/2026,
1763776,MANN,,1,H,KC441 - FF5626,,"$0,00",06/07/2026,
VX400,FARO,FILTRO DE ACEITE,3,H,,,"$0,00",06/07/2026,
Z5158,HASTING,FILTRO DE COMBUSTIBLE,0,H,,,"$0,00",06/07/2026,
AC166,PRIX,,4,I,KL788,,"$0,00",06/07/2026,
´004125,PERTRAK,FILTRO DE ACEITE,7,I,,,"$0,00",06/07/2026,
`004060,PERTRAK,FILTRO DE COMBUSTIBLE,7,I,,,"$0,00",06/07/2026,
`004115,PERTRAK,FILTRO DE ACEITE,4,I,,,"$0,00",06/07/2026,
OC35,VOX, FILTRO DE ACEITE,2,I,LB339 ,,"$0,00",06/07/2026,
KX368D,MAHLE,FILTRO DE COMBUSTIBLE,1,I,,,"$0,00",06/07/2026,
250042-862,SULLAIR,ELEMTO.SEPARADOR II° S.12,2,I,,"$466,10","$932,20",06/07/2026,
250042-862,P/SERVICIO,ELEMTO.SEPARADOR II° S.12,6,-,,"$466,10","$2.796,60",06/07/2026,
250034-116,SULLAIR,ELEMENTO SEP I° S.12/16/10-50,2,I,,"$705,80","$1.411,60",06/07/2026,
250034-116,P/SERVICIO,ELEMENTO SEP I° S.12/16/10-50,6,-,,"$705,80","$4.234,80",06/07/2026,
02250135-150,SULLAIR,FILTRO AIRE I° p/32-350,1,I,,"$692,40","$692,40",06/07/2026,
AL458,VOX,FILTRO DE ACEITE,4,I,OX174,,"$0,00",06/07/2026,
FN951,VOX,FILTRO DE COMBUSTIBLE,1,I,KX437/D,,"$0,00",06/07/2026,
