codigo,descripcion,proveedor,equivalencias,precio,uso_destino
OX153/7D,,ECHANIZ,,,
LX1845,,ECHANIZ,,,
AC975,,ECHANIZ,,,
MR331,,ECHANIZ,,,
02250069-073,,SULLAIR,,,
AF1855,,SULLAIR,,,
02250194-918,ELEMTO.FILTRO MPH125,SULLAIR,,589.1,
02250194-916,ELEMTO.FILTRO MPF 125,SULLAIR,,589.1,
250031-771,,SULLAIR,,,
CC2848,,SULLAIR | REPCENTER,,,
02250193-594,ELEM. FILTR. P/ FXH 700,IMPORTADO | SULLAIR,,958.2,Servicio Técnico
02250194-972,ELEM. FILTR. P/ SCF 340,IMPORTADO | SULLAIR,,842.1,Servicio Técnico
02250194-973,ELEM. FILTR. P/ SCH 340,IMPORTADO | SULLAIR,,902,Servicio Técnico
02250193-588,ELEM. FILTR. P/ FXH 45,IMPORTADO | SULLAIR,,316.6,Servicio Técnico
02250193-566,ELEM. FILTR. P/ FXF 45,IMPORTADO | SULLAIR,,316.6,Servicio Técnico
02250193-587,ELEM. FILTR. P/ FXH 25,IMPORTADO | SULLAIR,,265.9,Servicio Técnico
02250193-565,ELEM. FILTR. P/ FXF 25,IMPORTADO | SULLAIR,,265.9,Servicio Técnico
`040899,,IMPORTADO,,,
250031-438,JGO. REP VAL. POPPET  S12/10-50 | JGO.REP.VAL.POPPET-S12/10-50,SULLAIR | P/SERVICIO,,188.3,Servicio Técnico
6312-2rs1/c3,RODAMIENTOS,Aldo F Benito e Hijos | SKF,,,
6212-2z/c3,RODAMIENTOS,Aldo F Benito e Hijos | SKF,,,
WK940/1,KC454,MANN,,,
YPF,LUBRICANTE MULTIPROPOSITO 220ML,ECHANIZ,,,
FF-560R/S,,,,,
OX389/1D,AL470/4,,,,
LF4054,,REPCENTER,,,
LB962,OC60,REPCENTER,,,
26.687,MC003,REPCENTER,,,
42582,,SULLAIR,,,
02250110-988,KIT REP. VLV MINIMA P/241581,SULLAIR,,172.3,
8223054-TRA,SWITCH PARK BRAKE,SULLAIR,,35.9,
HS801,LXS401,REPCENTER,,,
HP8528,LX200,REPCENTER,,,
OC196,,REPCENTER,,,
250021-405,,SULLAIR,,,
FS1275-FLE,,SULLAIR,,,
02250171-245,KIT DE REPARACION VALV.DRENAJE,SULLAIR,,216,
02250166-220,KIT INL REPAIR 5 VALVE,SULLAIR,,526.2,
ML5052,,ECHANIZ,,,
ML1280,,ECHANIZ,,,
02250176-856,KIT REP. VLV ENTRADA P/SHOPTEK,SULLAIR,,388.9,
270009-082 (EF441),,FRECCIA,,,
EF-435,,FRECCIA,,,
EF-443,,FRECCIA,,,
EF-436,,FRECCIA,,,
EF-429,,FRECCIA,,,
LB283,,REPCENTER,,,
ML3349O,,ECHANIZ,,,
250018-551,ELEMTO. ACOPLE SAGA 12-60,SULLAIR,,1586.9,
V720,,REPCENTER,,,
02250194-968,ELEM. FILTR. P/ SCH 235,SULLAIR,,698.3,
ML3000O,,ECHANIZ,,,
AL102,,ECHANIZ,,,
250031-850,,SULLAIR,,,
02250207-067,,SULLAIR,,,
02250207-070,,SULLAIR,,,
02250193-558,ELEM. FILTR. P/ FXC 240,SULLAIR,,651.2,
LB916,,REPCENTER,,,
KX268D,,REPCENTER,,,
02250092-081,ELEMENTO VLV TERMOSTATICA 195°,SULLAIR,,418.7,
42988,,SULLAIR,,,
250022-670,SULLUBE ACEITE 32 TAMBOR 55GL,SULLAIR,,,
`045673,,SULLAIR,,,
45672,,SULLAIR,,,
EF-441,,FRECCIA,,,
EF-428,,FRECCIA,,,
4360469S-JLG,SWITCH KEY E45 600 1200,SULLAIR,,62.7,
02250176-967,KIT REP VLV ENT P/WS0500/0700,SULLAIR,,319.2,
´001692,,SULLAIR,,,
cc2848,,SULLAIR,,,
CFF003,,ECHANIZ,,,
02250155-971,"KIT, INLET VLV REPAIR",SULLAIR,,,
250028-036,JGO.REP.TERMOSTATO,SULLAIR,,157.5,
250030-757,ACEITE AWF 5GL,SULLAIR,,,
S00801-038/B20,AC AZOLLA ZS32 x 20,SULLAIR,,,
02250194-977,ELEM. FILTR. P/ SCF 465,SULLAIR,,989.1,
02250194-978,ELEM. FILTR. P/ SCH 465,SULLAIR,,989.1,
02250194-962,ELEM. FILTR. P/SCF 125,SULLAIR,,520.8,
02250194-963,ELEM. FILTR. P/ SCH 125,SULLAIR,,520.8,
02250222-539,,SULLAIR,,,
4060,,,,,
4115,,,,,
ef-440,,,,,
ef-434,,,,,
02250049-634,VALVULA DESPRESURIZADOR ALIVIO,SULLAIR,,294.8,
02250100-042,VLV DESPRESU 250 PSIG - ALIVIO,SULLAIR,,411.8,
H2225 HASTING,,,,,
LX907,,,,,
002250137-895,,,,,
`000098,,,,,
01157RA,,,,,
408893,VALVE SHUTTLE 1/4 (DBL CHK),SULLAIR,,250.3,
DRENAJE AUTOMATICO,,,,,
HIC346,,,,,
KC118,,,,,
AL 12,,,,,
OX174,,,,,
R9030M,,,,,
9009,,,,,
LX1716,,,,,
`040899RA,,,,,
KC83 PRIX,,,,,
KL788,,,,,
OX171,,,,,
ML1000,,,,,
ML33490,,,,,
LXS40/1 VOX,,,,,
MR378S,,,,,
V719,,,,,
KC188,,,,,
250032-482,,,,,
022500175-062,,,,,
OX174/D,,,,,
AF26173,,FLEETGUARD,,,
40649,,,,,
02250155-174,SENSOR ELECT.PRESION 0-250,SULLAIR,,480.8,
02250193-595,ELEM. FILTR. P/ FXH 925,SULLAIR,,1477.8,
02250193-573,ELEM. FILTR. P/ FXF 925,SULLAIR,,1477.8,
270008-555,,,,,
02250198-470,,,,,
02250125-372 IMP.,,,,,
AF25618,,FLEETGUARD,,,
ML1212,,,,,
8320265,,,,,
40588,,,,,
`004125,,,,,
408993,,,,,
49796,,,,,
02250155-174 IMP,,,,,
02250195-470,,,,,
LX2621,,,,,
PURGA AUTOMATICA,,,,,
02250078-204,ELEMENTO VÁLVULA TERMOSTATICA,SULLAIR,,631.9,
022500137-895,,,,,
*049905,,,,,
´004115,,,,,
EF443,,,,,
EF436,,,,,
HAD-20B,PURGADOR AUTOMATICO,IMPORTADO,,145.2,
KL238/D,,,,,
LX2643,,,,,
KIT WEGA,,,,,
194-918,,,,,
194-916,,,,,
HR30204J,,,,,
322026/VA938,,,,,
CORREAS (XPZ1212),,,,,
AL47014,,,,,
S081005/001,,,,,
40899,,,,,
C635-0011-01,,,,,
KC440/KC188,,,,,
oc90,,,,,
MDH286,,,,,
AH19037-FLE,,,,,
LF3000-FLE,,,,,
FF5052-FLE,,,,,
FS1280-FLE,,,,,
LXS40/1,,,,,
LX200,,,,,
40146,,,,,
AF-1855,,,,,
1001186466-JLG,,,,,
270009-102 (EF-443),,,,,
270009-103 (EF-436),,,,,
AL28/1,,,,,
4460465,,,,,
LC1D80F7C,,,,,
702354JLG,,,,,
022501193-591,,,,,
406631,ELEMENTO DE ACOPLE E-50,SULLAIR,,1821.1,
AF1638,,,,,
0140-4088,,,,,
LXS-261,,,,,
88290014-902,,,,,
C1250,FILTRO AIRE,MV,,28,
W719,FILTRO ACEITE,MV,,32,
FF202-FLE,,,,,
LF670-FLE,,,,,
AH1135-FLE,,,,,
KC647,,,,,
SB521,FILTRO SEPARADOR,MV,,120,
C1360,FILTRO AIRE,MV,,65,
ACEITE MV46,,,,,
7021581,,,,,
FILTRO HAB,,,,,
KX268/D,,,,,
A41018,,,,,
02250102-158,,,,,
02250102-160,,,,,
500801-038,,,,,
S00801-048,,,,,
40KVA,,,,,
3063506,,,,,
88290014-514,SENSOR DE PRESION p/ SHOPTEK,SULLAIR,,939.4,
HAD20B,,,,,
02250057-030,,,,,
8223054,,,,,
´045673,,,,,
02250151-492,,,,,
ELECT. VAL 2 VIAS ABAJO,,,,,
49905,,,,,
500004310732,,,,,
FILTROS 405158RA ?,,,,,
02250155-175,P THERMISTER 3000 OHM NTC 6 L,SULLAIR,,206.3,
2183910,,,,,
AH1136-FLE,,,,,
LF3349-FLE,,,,,
LX1451,,,,,
400215,,,,,
4360328S,,,,,
ADC120-24,,,,,
02250115-272,VALVULA CHECK 1/4,SULLAIR,,320.1,
OC203,,,,,
ML5421,,,,,
EF-434,,,,,
AF25557,,,,,
AF2555700JX,,,,,
WK94012,,,,,
AF1850-FLE,,,,,
FF105D-FLE,,,,,
LF9009 / LF3000,,,,,
WF2072-FLE,,,,,
W962,FILTRO ACEITE,MV,,49,
FILTRO DE AIRE MV-50,,,,,
88290014-534,SENS. TEMPERATURA P/ST,SULLAIR,,353.4,
250039-910,TRANSDUCER PRES0-250,SULLAIR,,,
`040588,SENSOR TEMPERATURA 240 F.M.C.,SULLAIR,,737.8,
02250129-175,KIT DE AUTODRENAJE PARA WS700,SULLAIR,,306.8,
02250112-031,KIT F.AIRE P/S.20 (del -032),SULLAIR,,119,
´001151,KIT REPAIR-14654 OIL STOP VLV.,SULLAIR,,253.9,
02250110-727,KIT REP VLV PRES MIN S12LFREE*,SULLAIR,,526.2,
250026-758,KIT REP. VLV MINIMA P/241581,SULLAIR,,172.3,
001078RA,KIT REP. CEDAZO RETORNO,SULLAIR,,28.4,
001128-B-RA,KIT ELECTROVLV. S/TRINQUETE,SULLAIR,,92.8,
250025-870,CONECTOR 1/8 TUBO X 5/16 -18,SULLAIR,,139.6,
250025-412,MANGUITO P/6E,SULLAIR,,,
´044905,VALVULA,SULLAIR,,,
041742RA,LAMINAS P/VLV.REG.PRES. KIT,SULLAIR,,67.6,
`021172,ARANDELA DE RESPALDO,SULLAIR,,28.8,
`027441,SEAL VITON MPV(OLD 025693),SULLAIR,,304.9,
02250050-363,RETEN U.C.S.12NEW(250001-900)*,P/SERVICIO | SULLAIR,,1187.2,Servicio Técnico
001175RA,CJTO.DE SELLOS P/FILTRO,SULLAIR,,24.4,
`047630,TACO GOMA P.MOTOR 185Q(04688),SULLAIR,,68.9,
02250092-529,VARIOS,SULLAIR,,,
´046559,VISOR RECUPERAD (VER046559RA),SULLAIR,,308.3,
250039-909,TERMISTOR RTD 100 OHM 12 3.5,SULLAIR,,1049.4,
´042004,ART. ESF. HEM. IZQ 5/16 24UNF,SULLAIR,,21.8,
250011-597,ART. ESF. HEMB. DER. 1/4 28 U,SULLAIR,,26.3,
250011-578,ART. ESF. HEMB. IZQ. 1/4,SULLAIR,,29.7,
049737RA,TAPA COMBUST.P/SULL/ONAN/JLG,SULLAIR,,212.5,
02250127-176,PURGAS DRENAJE,SULLAIR,,293.6,
02250058-087,TERMISTOR RTD 100 P/DS 20 6.0,SULLAIR,,782,
`040541,JUNTA VALVULA DE RETENCION,SULLAIR,,48,
´047628,TACO GOMA MOTOR 185Q (046879),,,122.6,
´049796,ELEMTO ACOPLE REX E-40 P/ S16,SULLAIR,,2110,
822204-000,NIPLE 1/4 NPT SCH80 CORTO 22MM,SULLAIR,,,
241771,FILTRO TIPO V 300 PSI x 1/4,SULLAIR,,168.8,
810504-012,CODO 90¬ 1/4 T x 1/8 NPT M.,SULLAIR,,50.6,
02250100-095,SWITCH TEMP.240ªF NC 3/4 SAE,SULLAIR,,420.1,
1089-0708-11,TEMPERATURE SWITCH,SULLAIR,,,
A028X493-ONA,BULBO PRES ACE (ex 193-0444),ONAN,,158.2,
K65BAA,KIT DE REPARACION,JEFFERSON,,,
K23AA,KIT DE REPARACION,JEFFERSON,,,
270021-405,CILINDRO DE VELOCIDAD,SULLAIR,,507.6,
242429,GASKET OIL STOP VALVE,SULLAIR,,,
´041619,O RING CUADRADO,SULLAIR,,93.1,
001177RA,KIT REP. VLV. PRESION MINIMA,SULLAIR,,117.4,
828406-150,BULON CAB FERRY 3/8-16 x 1 1/2,SULLAIR,,1.7,
250035-041,PIN DRIVE,SULLAIR,,,
882806-150,"CAPSCR, HEX 3/8-24 X 1 1/2 PLT",SULLAIR,,,
250040-924,CHAVETA,SULLAIR,,51,
005898-010,ADHESIVO,SULLAIR,,204.9,
250035-375,CUBO DE ACOPLE,SULLAIR,,204.9,
CÓDIGO,DESCRIPCIÓN,,,,
CC2825-FLE,Compleat EG Premix 50/50 x1Gal,,,,
02250194-959,ELEM. FILTR. P/ SCR 65,SULLAIR,,333.9,
02250195-196,ELEM. FILTR. P/ FXH 1600,SULLAIR,,2234.9,
02250195-193,ELEM FXF-1600 GENERAL PURPOSE,SULLAIR,,2234.9,
CODIGO,DESCRIPCIÓN,PROVEEDOR,,,
7304 AE1,,SKF,,,
7306 BECBM,,SKF,,,
6308-2RS1/C3,,SKF,,,
NU 216 ECP/C3,,SKF,,,
NU 208 ECP,,SKF,,,
31308 J2/QCL7C,,SKF,,,
6207-2Z/C3,,SKF,,,
QJ 208 MA,,SKF,,,
31308/Q/CL7A,,SKF,,,
LM67048/010/Q,,SKF,,,
NU2205 ECP,,SKF,,,
32306/0,,SKF,,,
6312/C3,,SKF,,,
6212-2RS1/C3,,SKF,,,
NU206 ECP,,SKF,,,
30205 J2/Q,,SKF,,,
BT1B 332541 AB/Q,,SKF,,,
30308A,,ROLLWAY,,,
499078-310 / HR303100J,,NSK,,,
6305DDUC3 B AS2S,,NSK,,,
6204Z,,NSK,,,
6210UC3 B,,NSK,,,
M88048,,TIMKEN,,,
394A- 20024,,TIMKEN,,,
HM88610,,TIMKEN,,,
HM88649/610,,TIMKEN,,,
25580,,TIMKEN,,,
6307.2ZR.C3 / H189-0921.HB,,FAG,,,
32206A,,FAG,,,
30309A,,FAG,,,
NU315-E-JP3,,FAG,,,
730 6B,,ZKL,,,
NJ308C3,,NTN,,,
HM88610-N,,KOYO,,,
HM88548-N,,KOYO,,,
7306B,,ZVL,,,
NU207ES,,URB,,,
4T-30206,,NTN,,,
AF1733KM-FLE,,FLEETGUARD,,,
AF490M-FLE,,FLEETGUARD,,,
AF4826K-FLE,,FLEETGUARD,,,
AF4103-FLE,,FLEETGUARD,,,
AF1935M-FLE,,FLEETGUARD,,,
AF25969   /  P781228,,FLEETGUARD,,,
AF947     (SIN CAJA),,FLEETGUARD,,,
AF1934M,,FLEETGUARD,,,
AF25756,,FLEETGUARD,,,
AF935M,,FLEETGUARD,,,
AF872M,,FLEETGUARD,,,
AF25688,,FLEETGUARD,,,
AF26400,,FLEETGUARD,,,
AS2201,,FLEETGUARD,,,
AF1850 (SIN CAJA),,FLEETGUARD,,,
EF-526/  A41001000092,,LANSS,,,
EF-881,,LANSS,,,
EF-507      NP46968,,LANSS,,,
EF-508       NP46981,,LANSS,,,
PF-560/1SC,,LANSS,,,
EF-864R    /  AF25175,,LANSS,,,
EF-473      /  AF820M,,LANSS,,,
EF-897       / AF1744M,,LANSS,,,
EF-793R  (SIN CAJA),,LANSS,,,
AF4564,,LANSS,,,
EF-831,,LANSS,,,
EF-574 (Caja no tirar),,LANSS,,,
61-2501   /    15000209  DR6,,CATERPILLAR,,,
15000172-(329),,CATERPILLAR,,,
211-2661     -(416E),,CATERPILLAR,,,
AF25557   / P828889  / 110-6326,,CATERPILLAR,,,
NP293-4053   PRIM:227-7448       416E/420E,,CATERPILLAR,,,
AF25570  -   P607365,,DONALDSON,,,
AF26400   -   P782108,,DONALDSON,,,
AF27940   -P953211,,DONALDSON,,,
AF25437   -   P537876,,DONALDSON,,,
AF27995    -   P953215,,DONALDSON,,,
AF26399     -  P782105,,DONALDSON,,,
V1003060 (para ATLAS) 708,,DONALDSON,,,
LX5312,,MAHLE,,,
LX1313/1,,MAHLE,,,
LX712   -  P380,,MAHLE,,,
LX814/1,,MAHLE,,,
INGERSOLL-RAND: 39843693,,VARIOS,,,
MARENO: EF-864R,,VARIOS,,,
MERCEDES BENZ: A0040943504,,VARIOS,,,
MOTOR GM: 046981/046968/750Q,,VARIOS,,,
LUBER-FINER: AF1767,,VARIOS,,,
DARMET: VP1702,,VARIOS,,,
DARMET: VP2769,,VARIOS,,,
MANN: 49002  52192,,VARIOS,,,
SULLAIR: 250034081,,VARIOS,,,
HASTING: J-3031,,VARIOS,,,
JOHN DEERE: AT171854,,VARIOS,,,
ALKA AF-IAC-0529 NP1705,,VARIOS,,,
ACOPLE,,VARIOS,,,
W950,FILTRO ACEITE,MV,,47,
021201001.01,VLV. DE ADMISION,MV,,263,
02350201001.01,BOTON PARADA DE EMERG.,MV,,9,
024101002.01,MANOMETRO,MV,,40,
021101001.02,VLV. PRESION MIN,MV,,95,
025001001.10,CONTROLADOR MAM-860,MV,,570,
LC1R1801M5N,AC CONTACTOR,MV,,7,
021301001.09,ELECTROVALVULA DE ADM.,MV,,140,
021301001.10,VLV. SOLENOIDE,MV,,80,
LC1R0601M5N,AC CONTACTOR,MV,,70,
021301001.01,VLV. SOLENOIDE,MV,,140,
LC1R2501M5N,AC CONTACTOR,MV,,100,
JIV-40,VLV. DE ADMISION,MV,,370,
SB461,FILTRO SEPARADOR,MV,,175,
SB564,FILTRO SEPARADOR,MV,,193,
MVP-32A,FILTRO DE AIRE,MV,,98,
JIV-65,VLV. DE ADMISION,MV,,420,
023701005.06,VLV. PRESION MIN,MV,,230,
40523,JUNTA FLEXMASTER 3 S.20,SULLAIR,,182.5,
0307-3070,RELAY 12V,CUMMINS,,131.7,
